ID				z	 LIR_50_300	LIR_8_1000
NGC0034                        0.0196      11.21          11.47
MCG+12-02-001                  0.0157      11.26          11.53
IC1623                         0.0201      11.47          11.74
NGC1614                        0.0159      11.32          11.59
IRASF05189-2524                0.0426      11.73          12.12
NGC2623                        0.0185      11.33          11.60
NGC3256                        0.0094      11.40          11.60
ESO320-G030                    0.0108      11.09          11.30
Mrk231                         0.0422      12.14          12.56
IRAS13120-5453                 0.0308      12.07          12.34
Arp193                         0.0233      11.44          11.68
NGC5135                        0.0137      11.13          11.33
ESO173-G015                    0.0097      11.38          11.65
Mrk273                         0.0378      11.91          12.17
NGC6240                        0.0245      11.61          11.87
CGCG049-057                    0.0130      11.05          11.28
IRASF17208-0014                0.0428      12.20          12.47
IC4687                         0.0173      11.12          11.39
NGC7469                        0.0163      11.32          11.60
NGC7552                        0.0054      10.84          11.05
Mrk331                         0.0185      11.26          11.53
NGC7771                        0.0143      11.26          11.43
IRAS00057+4021                 0.0445      11.34          11.60
IRAS00509+1225                 0.0611      11.40          11.67
IRAS01077-1707                 0.0351      11.42          11.69
IRAS01418+1651                 0.0274      11.29          11.56
IRAS02114+0456                 0.0297      11.26          11.43
IRAS02401-0013                 0.0037      10.96          11.23
IRAS02483+4302                 0.0514      11.67          11.85
IRAS02512+1446                 0.0312      11.43          11.70
IRAS03359+1523                 0.0353      11.27          11.45
IRAS04232+1436                 0.0795      11.81          12.08
IRAS05083+7936                 0.0543      11.88          12.06
IRAS08572+3915                 0.0582      11.73          12.11
IRAS09126+4432                 0.0398      11.48          11.65
IRAS09320+6134                 0.0393      11.77          11.95
IRAS09586+1600                 0.0080      10.37          10.64
IRAS10035-4852                 0.0648      11.83          12.10
IRAS10039-3338                 0.0341      11.47          11.74
IRAS10173+0828                 0.0489      11.53          11.80
IRAS10356+5345                 0.0033      10.08          10.35
IRAS10565+2448                 0.0428      11.75          12.01
IRAS11231+1456                 0.0341      11.40          11.57
IRAS12001+0215                 0.0066      10.11          10.29
IRAS12112+0305                 0.0727      12.07          12.34
IRAS12224-0624                 0.0263      11.05          11.23
IRAS12243-0036                 0.0073      10.77          11.04
IRAS13001-2339                 0.0215      11.24          11.41
IRAS13102+1251                 0.0112      10.48          10.66
IRAS13188+0036                 0.0186      11.00          11.17
IRAS13362+4831                 0.0278      11.18          11.45
IRAS13470+3530                 0.0168      10.96          11.10
IRAS13564+3741                 0.0125      10.88          11.05
IRAS14003+3245                 0.0145      10.77          10.95
IRAS14178+4927                 0.0256      11.08          11.35
IRAS14348-1447                 0.0825      12.08          12.42
IRAS15163+4255                 0.0402      11.59          11.94
IRAS15243+4150                 0.0089      10.38          10.65
IRAS15327+2340                 0.0182      11.80          11.98
IRAS15437+0234                 0.0128      10.84          11.01
IRAS16104+5235                 0.0292      11.37          11.63
IRAS16284+0411                 0.0245      11.23          11.40
IRAS17132+5313                 0.0507      11.62          11.89
IRASF18293-3413                 0.0182      11.62          11.84				
IRAS19458+0944                 0.1000      12.28          12.45
IRAS20550+1656                 0.0363      11.63          11.97
IRAS22491-1808                 0.0773      11.92          12.19
IRAS23365+3604                 0.0644      11.88          12.15
