Table 1
Sample Properties

1			& 	2	& 	3	&    4		&   5		&   6	  &   7
NGC 34			& 	11.49	& 	0.78	&    0.01962	&   84.1	&   330	  &   SB	
MCG+12-02-001		& 	11.50	& 	1.07	&    0.01570	&   69.8	&   200	  &   SB	
IC 1623			& 	11.71	& 	1.14	&    0.02007	&   85.5	&   250	  &   SB, AGN	
NGC 1068		& 	11.40	& 	9.07	&    0.003793	&   15.9	&   300	  &   AGN, SB	
NGC 1365		& 	11.00	& 	4.32	&    0.00546	&   17.9	&   250	  &   Sy1, SB	
NGC 1614		& 	11.65	& 	1.50	&    0.01594	&   67.8	&   220	  &   SB	
IRAS F05189-2524	& 	12.16	& 	0.60	&    0.04256	&   187		&   300	  &   QSO	
NGC 2146		& 	11.12	& 	6.97	&    0.00298	&   17.5	&   250	  &   SB	
NGC 2623		& 	11.60	& 	1.15	&    0.01851	&   84.1	&   400	  &   SB, AGN	
NGC 3256		& 	11.64	& 	4.61	&    0.00935	&   38.9	&   230	  &   SB	
Arp 299 A		& 	11.93	& 	4.84	&    0.01030	&   50.7	&   325	  &   SB, AGN	
ESO 320-G030		& 	11.17	& 	1.67	&    0.01078	&   41.2	&   350	  &   SB	
NGC 4418		& 	11.19	& 	1.74	&    0.007268	&   36.5	&   163	  &   Sy2
Mrk 231			& 	12.57	& 	1.48	&    0.04217	&   192		&   200	  &   QSO	
IRAS13120-5453		& 	12.32	& 	1.94	&    0.03076	&   144		&   400	  &   Sy2, SB	
Arp 193			& 	11.73	& 	8.19	&    0.02330	&   110		&   400	  &   SB, L	
NGC 5135		& 	11.30	& 	0.91	&    0.01369	&   60.9	&   150	  &   Sy2, SB	
ESO 173-G015		& 	11.38	& 	3.61	&    0.00974	&   34		&   200	  &   SB	
Mrk 273			& 	12.21	& 	1.05	&    0.03736	&   173		&   520	  &   SB, Sy2	
Zw 049.057		& 	11.35	& 	1.05	&    0.01300	&   65.4	&   200	  &   SB	
Arp 220			& 	12.28	& 	4.87	&    0.01813	&   77		&   504	  &   SB, AGN	
NGC 6240		& 	11.93	& 	1.10	&    0.02448	&   116		&   500	  &   SB, AGN	
IRAS F17207-0014	& 	12.46	& 	1.56	&    0.04281	&   198		&   620	  &   SB, L	
IRAS F18293-3413	& 	11.88	& 	1.82	&    0.01817	&   86		&   270	  &   	
IC 4687/6		& 	11.62	& 	0.84	&    0.01735	&   81.9	&   230	  &   SB	
NGC 7469		& 	11.65	& 	1.32	&    0.01632	&   70.8	&   300	  &   Sy1, SB	
NGC 7552		& 	11.11	& 	3.64	&    0.00537	&   23.5	&   180	  &   SB	
NGC 7771		& 	11.40	& 	1.08	&    0.01427	&   61.2	&   250	  &   SB	
Mrk 331			& 	11.50	& 	0.87	&    0.01790	&   79.3	&   215	  &   SB	
